Employee_ID,Name,Age,Department,Salary,Joining_Date,Experience_Years,Performance_Rating,Location
E1000,James Hanson,22,Sales,110567,23/08/2020,19,Excellent,New York
E1001,Jason Perez,35,IT,87465,21/12/2022,1,Excellent,Chicago
E1002,Rachel Franco,59,HR,73290,04/08/2023,16,Average,Houston
E1003,Timothy Mcdonald,57,Operations,45999,07/01/2024,17,Excellent,New York
E1004,Michelle Mueller,32,Operations,96632,29/07/2019,36,Excellent,Chicago
E1005,Lisa Dougherty,36,Operations,85687,14/10/2020,31,Poor,Houston
E1006,Vincent Webb MD,44,HR,67522,31/12/2019,13,Poor,Houston
E1007,Dennis Hudson,31,IT,110999,28/07/2017,19,Excellent,New York
E1008,Paul Howell,42,Operations,95963,22/07/2015,19,Excellent,New York
E1009,Jeremiah Nunez,51,IT,96412,30/04/2020,24,Excellent,Houston
E1010,Wayne Johnson,39,Marketing,52393,03/10/2023,34,Excellent,New York
E1011,Lisa Mitchell,53,Marketing,85639,12/05/2024,26,Good,Los Angeles
E1012,Devin Vargas,43,Operations,56799,14/08/2024,7,Poor,Los Angeles
E1013,Chad Sweeney,60,Operations,88386,12/10/2024,23,Average,San Francisco
E1014,Nicole Riley,57,IT,104293,28/06/2020,17,Excellent,Houston
E1015,Stephanie Bell,40,IT,44266,04/01/2016,40,Good,Chicago
E1016,James Edwards,27,Finance,62148,22/12/2019,38,Excellent,New York
E1017,Lauren Adkins,32,Sales,63188,05/10/2018,7,Poor,San Francisco
E1018,Dr. Sara Stephens DVM,37,IT,82975,02/02/2020,36,Good,Los Angeles
E1019,Maurice Lee,54,Finance,115393,27/02/2019,13,Excellent,New York
E1020,Mary Keller,28,Operations,101281,15/04/2015,31,Average,New York
E1021,Mark Skinner,43,Finance,118986,04/05/2023,1,Average,Houston
E1022,Rebecca Rivera,58,Marketing,90613,27/05/2018,35,Poor,Houston
E1023,Hannah Singh,45,Operations,32254,06/10/2023,38,Good,Chicago
E1024,Angela Scott,55,Operations,76577,17/02/2019,20,Good,New York
E1025,Autumn Powell,28,Operations,90560,15/05/2021,30,Excellent,Los Angeles
E1026,Patrick Mitchell,23,Finance,32166,25/11/2016,2,Average,Chicago
E1027,Jessica Steele,45,IT,90112,27/04/2015,24,Poor,San Francisco
E1028,Raymond Kim,27,Finance,101844,12/02/2020,23,Good,Los Angeles
E1029,Lori Johnson,38,Finance,58213,15/08/2017,40,Excellent,Houston
E1030,Charles Wilson,32,HR,75384,14/08/2015,14,Poor,Los Angeles
E1031,Sara Navarro,37,Marketing,32475,27/09/2021,34,Poor,Houston
E1032,Laura Woods,56,Operations,73931,04/03/2024,8,Excellent,New York
E1033,Candace Schmidt,40,Finance,37029,16/10/2024,37,Good,San Francisco
E1034,Joshua Reyes,50,HR,70093,12/04/2022,15,Excellent,San Francisco
E1035,Jacqueline Nelson,29,Sales,95497,10/06/2015,14,Good,New York
E1036,Anna Hahn,50,Operations,32493,24/10/2017,23,Average,San Francisco
E1037,Jason Gill,43,HR,39088,30/03/2015,17,Poor,Chicago
E1038,Donald Lee,52,IT,90160,17/12/2019,11,Average,New York
E1039,Teresa Young,45,Marketing,53473,16/03/2023,23,Good,Chicago
E1040,Andrew Turner,41,Marketing,50881,02/09/2023,23,Good,Houston
E1041,Andrew Mills,52,Marketing,94715,08/08/2015,19,Average,Chicago
E1042,Zachary Mcguire,49,Operations,49703,18/05/2017,24,Average,Houston
E1043,Craig Callahan,38,HR,83342,22/01/2025,25,Good,San Francisco
E1044,Lisa Reyes,25,Operations,42172,23/05/2019,13,Average,Los Angeles
E1045,Cynthia Mann,44,Finance,36375,08/11/2020,4,Excellent,New York
E1046,Michael Bryan,22,HR,77792,28/01/2017,20,Good,Chicago
E1047,Michelle Fry,30,Operations,98310,05/10/2020,30,Good,Houston
E1048,Tammy Smith,41,Sales,107085,25/04/2019,8,Average,Chicago
E1049,Charlotte Miller,47,IT,43828,01/04/2022,27,Average,Chicago
E1050,Elizabeth Mayer,36,Sales,116750,30/05/2020,36,Excellent,Los Angeles
E1051,Tiffany Herman,59,Marketing,106739,27/03/2018,9,Excellent,Los Angeles
